modelo,question_type,rate,n
deepseek:6.7b,a,0.0,2
deepseek:6.7b,abraham,1.0,1
deepseek:6.7b,according,0.0,1
deepseek:6.7b,after,0.0,1
deepseek:6.7b,air,0.0,1
deepseek:6.7b,akira,0.0,1
deepseek:6.7b,albert,0.0,1
deepseek:6.7b,although,1.0,1
deepseek:6.7b,andrew,1.0,1
deepseek:6.7b,angel,1.0,1
deepseek:6.7b,anthony,1.0,1
deepseek:6.7b,are,0.1111111111111111,45
deepseek:6.7b,arthur,1.0,1
deepseek:6.7b,at,0.5,2
deepseek:6.7b,ave,1.0,1
deepseek:6.7b,b,0.0,1
deepseek:6.7b,bayer,0.0,1
deepseek:6.7b,before,1.0,1
deepseek:6.7b,between,1.0,1
deepseek:6.7b,billings,0.0,1
deepseek:6.7b,black,0.0,1
deepseek:6.7b,borovička,0.0,1
deepseek:6.7b,both,0.0,2
deepseek:6.7b,bret,0.0,1
deepseek:6.7b,buck,0.0,1
deepseek:6.7b,by,0.0,1
deepseek:6.7b,campari,0.0,1
deepseek:6.7b,can,1.0,1
deepseek:6.7b,carpo,1.0,1
deepseek:6.7b,celebration,1.0,1
deepseek:6.7b,chas,0.0,1
deepseek:6.7b,chibuku,0.0,1
deepseek:6.7b,chocolate,1.0,1
deepseek:6.7b,chris,1.0,1
deepseek:6.7b,christmas,0.0,1
deepseek:6.7b,christopher,0.0,1
deepseek:6.7b,cinergi,0.0,1
deepseek:6.7b,clic,0.0,1
deepseek:6.7b,clive,0.0,1
deepseek:6.7b,cohousing,0.0,1
deepseek:6.7b,cole,0.0,1
deepseek:6.7b,consider,0.0,1
deepseek:6.7b,cyrcle,1.0,1
deepseek:6.7b,da,0.0,1
deepseek:6.7b,dan,0.0,1
deepseek:6.7b,daniel,0.0,1
deepseek:6.7b,danish,0.0,1
deepseek:6.7b,darla,1.0,1
deepseek:6.7b,darth,0.0,1
deepseek:6.7b,david,0.5,2
deepseek:6.7b,deborah,1.0,1
deepseek:6.7b,debra,0.0,1
deepseek:6.7b,der,0.0,2
deepseek:6.7b,destiny,1.0,1
deepseek:6.7b,did,0.5,2
deepseek:6.7b,die,0.0,1
deepseek:6.7b,do,0.25,4
deepseek:6.7b,does,0.0,1
deepseek:6.7b,don,0.0,1
deepseek:6.7b,donald,0.0,1
deepseek:6.7b,dongxing,0.0,1
deepseek:6.7b,donna,0.0,1
deepseek:6.7b,dua,1.0,1
deepseek:6.7b,during,0.0,2
deepseek:6.7b,edward,1.0,1
deepseek:6.7b,eric,0.0,1
deepseek:6.7b,ethan,0.0,1
deepseek:6.7b,ettore,0.0,1
deepseek:6.7b,euxoamorpha,0.0,1
deepseek:6.7b,filip,0.0,1
deepseek:6.7b,film,1.0,1
deepseek:6.7b,for,0.0,3
deepseek:6.7b,former,0.0,1
deepseek:6.7b,francesco,1.0,1
