num_tokens,num_palabras,num_oraciones,num_verbs,num_nouns,num_adjs,num_advs,num_entidades,longitud_promedio_oracion,densidad_verbos,densidad_sustantivos,densidad_entidades,modelo,benchmark,label_gold_binaria,prompt
47,38,3,4,11,2,1,1,15.666666666666666,0.0851063829787234,0.23404255319148937,0.02127659574468085,deepseek-coder-6.7b,halueval,0,Bret Schundler served in the cabinet of a New Jersey governor whose term ended in what year?
47,38,3,4,11,2,1,1,15.666666666666666,0.0851063829787234,0.23404255319148937,0.02127659574468085,deepseek-coder-6.7b,halueval,0,"The Government Accountability Institute (GAI) is a conservative nonprofit investigative research organization located in Tallahassee, Florida, The group is known for its involvement with the publication of the investigative books ""Clinton Cash: The Untold Story of How and Why Foreign Governments and Businesses Helped Make Bill and Hillary Rich"", Clinton Cash: The Untold Story of How and Why Foreign Governments and Businesses Helped Make Bill and Hillary Rich is  a ""New York Times"" bestselling book, released in which year?"
30,24,2,5,4,0,0,2,15.0,0.16666666666666666,0.13333333333333333,0.06666666666666667,deepseek-coder-6.7b,halueval,0,"How many people died in the downing of the flight investigated by Eliot Higgins, the British citizen journalist and blogger?"
51,41,3,6,13,6,0,1,17.0,0.11764705882352941,0.2549019607843137,0.0196078431372549,deepseek-coder-6.7b,halueval,0,"Life of Kylie is an American reality television series starring Kylie Jenner,  best known for starring in the E! reality television series ""Keeping Up with the Kardashians"" since what young age?"
56,50,3,10,16,3,0,0,18.666666666666668,0.17857142857142858,0.2857142857142857,0.0,deepseek-coder-6.7b,halueval,0,What do Jimmie Ross and Jas Mann have in common?
46,38,3,6,13,3,0,1,15.333333333333334,0.13043478260869565,0.2826086956521739,0.021739130434782608,deepseek-coder-6.7b,halueval,0,Are 919 Third Avenue and the Morgan Stanley Building located in the same area of New York?
88,58,2,6,13,2,1,5,44.0,0.06818181818181818,0.14772727272727273,0.056818181818181816,deepseek-coder-6.7b,halueval,0,What group did the composer of Pictures at an Exhibition belong to?
38,31,2,4,11,2,0,1,19.0,0.10526315789473684,0.2894736842105263,0.02631578947368421,deepseek-coder-6.7b,halueval,0, Taizô Kawashima was nominated for an Academy Award for the war film released in what year?
63,51,3,10,15,2,2,2,21.0,0.15873015873015872,0.23809523809523808,0.031746031746031744,deepseek-coder-6.7b,halueval,0,Watchers is a film starring which actress?
40,33,2,5,8,2,0,0,20.0,0.125,0.2,0.0,deepseek-coder-6.7b,halueval,0,"What is the name of this American musician, singer, actor, comedian, and songwriter, who worked with Modern Records and born in December 5, 1932?"
