num_tokens,num_palabras,num_oraciones,num_verbs,num_nouns,num_adjs,num_advs,num_entidades,longitud_promedio_oracion,densidad_verbos,densidad_sustantivos,densidad_entidades,modelo,benchmark,label_gold_binaria,prompt
669,511,33,55,71,28,19,70,20.272727272727273,0.08221225710014948,0.10612855007473841,0.10463378176382661,phi-latest,halueval,0,Bret Schundler served in the cabinet of a New Jersey governor whose term ended in what year?
494,359,21,40,38,22,7,77,23.523809523809526,0.08097165991902834,0.07692307692307693,0.15587044534412955,phi-latest,halueval,0,"The Government Accountability Institute (GAI) is a conservative nonprofit investigative research organization located in Tallahassee, Florida, The group is known for its involvement with the publication of the investigative books ""Clinton Cash: The Untold Story of How and Why Foreign Governments and Businesses Helped Make Bill and Hillary Rich"", Clinton Cash: The Untold Story of How and Why Foreign Governments and Businesses Helped Make Bill and Hillary Rich is  a ""New York Times"" bestselling book, released in which year?"
521,404,29,37,96,34,16,27,17.96551724137931,0.0710172744721689,0.18426103646833014,0.05182341650671785,phi-latest,halueval,0,"How many people died in the downing of the flight investigated by Eliot Higgins, the British citizen journalist and blogger?"
806,590,32,90,121,49,28,82,25.1875,0.11166253101736973,0.1501240694789082,0.10173697270471464,phi-latest,halueval,0,"Life of Kylie is an American reality television series starring Kylie Jenner,  best known for starring in the E! reality television series ""Keeping Up with the Kardashians"" since what young age?"
456,350,18,48,64,18,18,35,25.333333333333332,0.10526315789473684,0.14035087719298245,0.07675438596491228,phi-latest,halueval,0,What do Jimmie Ross and Jas Mann have in common?
20,14,1,1,0,0,0,3,20.0,0.05,0.0,0.15,phi-latest,halueval,0,Are 919 Third Avenue and the Morgan Stanley Building located in the same area of New York?
60,46,2,2,11,3,1,5,30.0,0.03333333333333333,0.18333333333333332,0.08333333333333333,phi-latest,halueval,0,What group did the composer of Pictures at an Exhibition belong to?
638,520,31,63,107,29,15,48,20.580645161290324,0.0987460815047022,0.1677115987460815,0.07523510971786834,phi-latest,halueval,0, Taizô Kawashima was nominated for an Academy Award for the war film released in what year?
38,31,2,3,8,3,0,0,19.0,0.07894736842105263,0.21052631578947367,0.0,phi-latest,halueval,0,Watchers is a film starring which actress?
53,36,2,4,13,2,2,1,26.5,0.07547169811320754,0.24528301886792453,0.018867924528301886,phi-latest,halueval,0,"What is the name of this American musician, singer, actor, comedian, and songwriter, who worked with Modern Records and born in December 5, 1932?"
26,22,1,2,4,2,1,5,26.0,0.07692307692307693,0.15384615384615385,0.19230769230769232,phi-latest,halueval,0,Who was the former wife of the American musician who led the band Kings of Rhythm?
5,2,1,0,0,0,0,1,5.0,0.0,0.0,0.2,phi-latest,halueval,0,"Spaceballs is a 1987 American comic science fiction film co-written, produced and directed by Mel Brooks, the film also features which American actor, businessman, and animal welfare advocate, best known for his role as patriarch Tom Bradford on the ABC television comedy-drama ""Eight Is Enough""?"
21,17,1,2,1,1,0,4,21.0,0.09523809523809523,0.047619047619047616,0.19047619047619047,phi-latest,halueval,0,What is the nationality of the writer and director of the film The Tree of Life?
