num_tokens,num_palabras,num_oraciones,num_verbs,num_nouns,num_adjs,num_advs,num_entidades,longitud_promedio_oracion,densidad_verbos,densidad_sustantivos,densidad_entidades,modelo,benchmark,label_gold_binaria,prompt
17,15,1,2,3,0,0,3,17.0,0.11764705882352941,0.17647058823529413,0.17647058823529413,qwen-latest,halueval,0,Bret Schundler served in the cabinet of a New Jersey governor whose term ended in what year?
1,0,1,0,0,0,0,1,1.0,0.0,0.0,1.0,qwen-latest,halueval,0,"The Government Accountability Institute (GAI) is a conservative nonprofit investigative research organization located in Tallahassee, Florida, The group is known for its involvement with the publication of the investigative books ""Clinton Cash: The Untold Story of How and Why Foreign Governments and Businesses Helped Make Bill and Hillary Rich"", Clinton Cash: The Untold Story of How and Why Foreign Governments and Businesses Helped Make Bill and Hillary Rich is  a ""New York Times"" bestselling book, released in which year?"
61,56,3,6,13,7,3,2,20.333333333333332,0.09836065573770492,0.21311475409836064,0.03278688524590164,qwen-latest,halueval,0,"How many people died in the downing of the flight investigated by Eliot Higgins, the British citizen journalist and blogger?"
20,16,1,3,1,1,1,3,20.0,0.15,0.05,0.15,qwen-latest,halueval,0,"Life of Kylie is an American reality television series starring Kylie Jenner,  best known for starring in the E! reality television series ""Keeping Up with the Kardashians"" since what young age?"
11,10,1,0,2,1,0,3,11.0,0.0,0.18181818181818182,0.2727272727272727,qwen-latest,halueval,0,What do Jimmie Ross and Jas Mann have in common?
20,17,1,1,1,1,0,3,20.0,0.05,0.05,0.15,qwen-latest,halueval,0,Are 919 Third Avenue and the Morgan Stanley Building located in the same area of New York?
21,18,1,1,4,2,0,1,21.0,0.047619047619047616,0.19047619047619047,0.047619047619047616,qwen-latest,halueval,0,What group did the composer of Pictures at an Exhibition belong to?
16,14,1,2,2,0,0,3,16.0,0.125,0.125,0.1875,qwen-latest,halueval,0, Taizô Kawashima was nominated for an Academy Award for the war film released in what year?
10,9,1,1,1,0,0,2,10.0,0.1,0.1,0.2,qwen-latest,halueval,0,Watchers is a film starring which actress?
34,24,2,2,6,1,0,4,17.0,0.058823529411764705,0.17647058823529413,0.11764705882352941,qwen-latest,halueval,0,"What is the name of this American musician, singer, actor, comedian, and songwriter, who worked with Modern Records and born in December 5, 1932?"
